brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
OLYMPIKUS,Tênis Olympikus Corre Supra Unissex,1.199,,120,,4.9,(10)
PUMA,Puma Electron E Masculino Adultos,469,99,45,57,,
,Combo 2 Pares Tênis Jeet Masculino Corrida Caminha Promoção,249,90,150,58,4.3,(541)
OLYMPIKUS,Tênis Olympikus Masculino Esportivo Reverso 2 - Original,379,99,239,39,5.0,(9)
OLYMPIKUS,Olympikus Treino Beats Masculino Adultos,299,10,269,09,4.6,(34)
OLYMPIKUS,Tênis Olympikus Estilo 2 Preto,199,90,33,32,3.6,(9)
,"Tenis Esportivo Feminino Masculino,resistente, Confortavel!",69,90,6,79,4.5,(104)
PLAZA,Kit 2 Pares De Tênis Casual Esportivo Neo Original Promoção,137,90,34,48,4.1,(28)
SAPATOFRAN,Tênis Masculino Esportivo X-try P/ Treinos,99,,33,,,
PLAZA,Kit 4 Pares Tênis Casual Esportivo Original Neo Atacado ,269,90,33,74,4.3,(18)
HOCKS,Tenis Hocks Clássico Preto Original Unissex Skatista,349,90,279,92,,
OLYMPIKUS,Tênis Olympikus Corre Grafeno 2 Corrida Laranja E Neon - Mas,599,90,59,99,5.0,(2)
KAPPA,Tênis Kappa Impact Masculino Open Box,99,90,9,71,,
,Tênis Masculino Esportivo Ortopédico Original  + Relógio,109,90,10,68,,
OLYMPIKUS,Tenis Feminino E Masculino Confortável Para Esportes Oferta,100,33,33,,,
FILA,Fila Athlon Masculino Adultos,249,90,197,42,4.8,(17)
FILA,Tênis Fila Kr6 Masculino Amarelo Neon Running Corrida,379,90,360,90,5.0,(23)
MZ,Tênis Feminino Ou Masculino Academia Pronta Entrega Mzuno,98,50,32,83,4.5,(55)
FILA,Tenis Fila Racer Nairobi Masculino-marinho/cinza/branco,347,34,277,87,,
OLYMPIKUS,Tenis Masculino Olympikus Cyber 4 Lançamento,259,90,32,49,,
OLYMPIKUS,Tênis Olympikus Estilo 2 Preto,209,90,34,98,5.0,(2)
MIZUNO,Mizuno Wave Prophecy 13 Masculino Adultos,1.679,50,1.595,,5.0,(1)
RAINHA,Tênis Masculino Corrida Leve E Resistente Lindo Rainha Z239,169,99,16,52,4.7,(80)
MIZUNO,Mizuno Cool Ride Masculino Adultos,379,90,238,88,4.7,(840)
WM,Tenis Olimp Masculino Feminino Lançamento Muito Envio Rápido,109,99,36,66,4.2,(37)
LUIZA PAULA,Tênis Academia Unissex Conforto Leve Corrida Frete Grátis,99,90,9,71,4.6,(39)
MIZUNO,Mizuno Wave Way 3 Masculino Adultos,345,54,276,43,4.7,(277)
OLYMPIKUS,Tênis Olympikus Corrida Masculino Urbex Ref: 104,199,90,33,32,,
ADIDAS,adidas Lite Racer 3.0 Masculino Adultos,299,90,33,32,4.7,(464)
OLYMPIKUS,Tênis Masculino Olympikus Dynamic Academia Caminhada,240,60,117,20,4.3,(8)
OLYMPIKUS,Tênis Running Masculino Olympikus Original Pride 3,493,99,390,25,,
STARFLEX,Tênis Com Amortecedor Masculino Corrida Esportivo Flex Mola ,134,90,33,72,4.8,(18)
PLAZA,Kit 2 Tênis Esportivo Casual Neo Running + Relógio Digital,137,90,13,40,4.4,(39)
,Tênis Masculino Esportivo Ortopédico Original  + Relógio,109,90,10,68,,
OLYMPIKUS,Tênis Running Masculino Olympikus Original Pride 3,493,99,390,25,,
HARD,"Tenis Masculino, Corrida Esportivo Levinho Novo Lançamento",129,98,79,66,4.2,(54)
DM DAMANDO,Kit Combo 2 Tenis Masculino Dm Damando Academia + Relógio,149,90,14,57,4.5,(13)
VANS,Vans Knu Stack Masculino Adultos,280,20,109,61,3.5,(11)
DM DAMANDO,Combo 2 Tenis Masculino Academia Leve Confortável + Relógio,154,90,15,06,,
,Tênis Masculino Esporte Fino Kit Carteira + Relogio Brinde,104,90,10,20,4.2,(48)
,Kit Combo 2 Tenis Masculino P/ Treino Academia Confortável,147,90,36,98,,
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção ,78,99,67,14,4.3,(2308)
OLYMPIKUS,Olympikus Express Masculino Adultos,274,99,195,99,4.6,(276)
OLYMPIKUS,Tênis Olympikus Corre 3 Branco Unissex,499,90,49,,5.0,(25)
